word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
network,526.0,781.0,669.0,791.0,783.0,717.0,767.0,853.0,917.0,865.0
cod,296.0,337.0,310.0,299.0,275.0,196.0,242.0,168.0,145.0,111.0
channel,264.0,321.0,329.0,215.0,165.0,171.0,156.0,153.0,98.0,67.0
model,245.0,341.0,356.0,390.0,385.0,421.0,446.0,433.0,414.0,409.0
systems,222.0,253.0,282.0,274.0,302.0,308.0,297.0,271.0,273.0,205.0
analysis,190.0,263.0,262.0,280.0,274.0,312.0,252.0,277.0,274.0,191.0
graph,185.0,211.0,219.0,211.0,223.0,227.0,223.0,176.0,184.0,191.0
algorithm,157.0,248.0,205.0,230.0,223.0,190.0,176.0,135.0,116.0,102.0
algorithms,147.0,147.0,151.0,165.0,168.0,185.0,141.0,124.0,99.0,78.0
information,140.0,157.0,202.0,169.0,168.0,145.0,148.0,132.0,107.0,103.0
wireless,138.0,230.0,192.0,199.0,167.0,172.0,146.0,103.0,81.0,88.0
system,131.0,186.0,152.0,163.0,158.0,165.0,121.0,126.0,113.0,97.0
complexity,126.0,155.0,124.0,126.0,108.0,107.0,92.0,70.0,86.0,44.0
data,120.0,240.0,201.0,248.0,244.0,222.0,258.0,268.0,296.0,291.0
distribute,117.0,153.0,160.0,155.0,132.0,150.0,144.0,136.0,130.0,85.0
interference,108.0,127.0,112.0,80.0,79.0,76.0,50.0,46.0,22.0,16.0
linear,105.0,103.0,124.0,122.0,128.0,127.0,116.0,85.0,76.0,59.0
program,101.0,133.0,137.0,99.0,110.0,104.0,91.0,95.0,76.0,69.0
time,100.0,114.0,104.0,120.0,117.0,114.0,98.0,82.0,99.0,78.0
bound,98.0,108.0,101.0,104.0,92.0,85.0,83.0,73.0,63.0,47.0
design,96.0,158.0,118.0,152.0,133.0,137.0,118.0,103.0,91.0,91.0
learn,94.0,134.0,188.0,240.0,206.0,235.0,386.0,494.0,598.0,808.0
process,93.0,100.0,91.0,130.0,119.0,111.0,85.0,107.0,104.0,86.0
quantum,92.0,50.0,56.0,28.0,31.0,38.0,31.0,21.0,20.0,26.0
game,90.0,123.0,129.0,114.0,86.0,83.0,95.0,102.0,78.0,55.0
optimal,90.0,128.0,129.0,129.0,106.0,117.0,102.0,115.0,110.0,89.0
set,89.0,90.0,117.0,87.0,99.0,84.0,80.0,70.0,58.0,56.0
efficient,88.0,112.0,144.0,153.0,149.0,119.0,124.0,92.0,110.0,115.0
compute,88.0,74.0,99.0,100.0,86.0,104.0,82.0,84.0,85.0,76.0
applications,86.0,81.0,85.0,83.0,70.0,85.0,81.0,77.0,73.0,71.0
detection,86.0,95.0,90.0,99.0,116.0,166.0,174.0,195.0,211.0,221.0
random,85.0,107.0,90.0,96.0,77.0,80.0,78.0,62.0,60.0,41.0
theory,84.0,62.0,68.0,62.0,88.0,54.0,55.0,46.0,35.0,44.0
search,84.0,64.0,92.0,93.0,83.0,79.0,72.0,65.0,69.0,66.0
function,84.0,105.0,97.0,92.0,103.0,72.0,77.0,70.0,64.0,44.0
structure,79.0,91.0,103.0,89.0,96.0,85.0,96.0,90.0,87.0,72.0
communication,79.0,86.0,80.0,75.0,67.0,85.0,94.0,68.0,71.0,42.0
performance,78.0,142.0,122.0,155.0,124.0,133.0,96.0,109.0,83.0,70.0
capacity,78.0,111.0,106.0,73.0,51.0,51.0,43.0,57.0,28.0,19.0
mimo,77.0,81.0,89.0,59.0,79.0,88.0,100.0,89.0,70.0,36.0
dynamic,77.0,92.0,101.0,115.0,100.0,89.0,97.0,97.0,106.0,101.0
control,76.0,106.0,105.0,131.0,146.0,136.0,118.0,145.0,139.0,138.0
gaussian,74.0,78.0,57.0,50.0,35.0,43.0,43.0,42.0,31.0,17.0
power,74.0,86.0,83.0,80.0,90.0,107.0,93.0,85.0,89.0,71.0
optimization,71.0,92.0,97.0,110.0,110.0,106.0,132.0,107.0,96.0,104.0
logic,69.0,87.0,113.0,82.0,71.0,82.0,48.0,50.0,46.0,36.0
tree,68.0,83.0,54.0,73.0,64.0,76.0,85.0,67.0,58.0,45.0
image,67.0,130.0,95.0,152.0,126.0,157.0,205.0,257.0,299.0,242.0
relay,67.0,93.0,111.0,89.0,71.0,66.0,59.0,37.0,34.0,9.0
sense,66.0,66.0,69.0,68.0,95.0,68.0,69.0,43.0,59.0,42.0
application,63.0,84.0,81.0,87.0,77.0,59.0,71.0,68.0,59.0,52.0
multiple,62.0,77.0,83.0,81.0,48.0,84.0,67.0,75.0,76.0,52.0
framework,60.0,76.0,86.0,78.0,98.0,98.0,87.0,117.0,91.0,118.0
scheme,59.0,97.0,84.0,82.0,72.0,69.0,54.0,47.0,45.0,31.0
web,59.0,84.0,97.0,103.0,77.0,69.0,50.0,33.0,35.0,39.0
sensor,57.0,103.0,61.0,93.0,88.0,76.0,84.0,35.0,48.0,28.0
case,54.0,57.0,77.0,45.0,64.0,51.0,42.0,61.0,48.0,33.0
decode,53.0,61.0,64.0,43.0,32.0,32.0,31.0,21.0,24.0,18.0
fade,53.0,37.0,42.0,33.0,25.0,31.0,19.0,20.0,13.0,7.0
estimation,53.0,78.0,75.0,93.0,93.0,101.0,100.0,136.0,129.0,133.0
feedback,53.0,46.0,51.0,37.0,42.0,43.0,45.0,31.0,27.0,17.0
schedule,53.0,74.0,68.0,72.0,56.0,59.0,53.0,36.0,47.0,34.0
source,52.0,53.0,59.0,54.0,43.0,55.0,45.0,33.0,38.0,33.0
fast,52.0,53.0,43.0,67.0,68.0,67.0,96.0,81.0,71.0,60.0
sparse,52.0,76.0,65.0,79.0,116.0,67.0,95.0,68.0,53.0,45.0
parallel,52.0,62.0,59.0,48.0,58.0,58.0,40.0,40.0,53.0,31.0
constraints,51.0,46.0,51.0,43.0,44.0,35.0,41.0,32.0,44.0,31.0
mobile,50.0,122.0,82.0,90.0,69.0,86.0,74.0,71.0,73.0,53.0
study,50.0,89.0,81.0,93.0,97.0,93.0,86.0,94.0,104.0,82.0
