word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
network,526.0,781.0,669.0,791.0,783.0,717.0,768.0,853.0,917.0,866.0
system,363.0,443.0,439.0,445.0,469.0,487.0,430.0,407.0,402.0,317.0
algorithm,327.0,413.0,376.0,406.0,405.0,397.0,334.0,267.0,224.0,189.0
cod,325.0,373.0,338.0,325.0,306.0,220.0,274.0,199.0,180.0,133.0
channel,264.0,321.0,329.0,215.0,166.0,171.0,156.0,153.0,98.0,67.0
model,248.0,346.0,356.0,390.0,387.0,421.0,447.0,433.0,414.0,409.0
optim,216.0,286.0,280.0,294.0,265.0,282.0,284.0,273.0,246.0,230.0
analys,214.0,299.0,291.0,324.0,323.0,361.0,312.0,321.0,326.0,244.0
comput,212.0,205.0,244.0,231.0,208.0,230.0,189.0,214.0,191.0,145.0
graph,205.0,227.0,244.0,232.0,246.0,243.0,234.0,185.0,197.0,201.0
distribut,166.0,206.0,218.0,220.0,187.0,207.0,199.0,195.0,183.0,128.0
complex,161.0,193.0,170.0,157.0,145.0,153.0,132.0,105.0,129.0,73.0
apply,161.0,187.0,186.0,195.0,166.0,159.0,169.0,162.0,148.0,135.0
gen,151.0,216.0,219.0,226.0,193.0,192.0,183.0,213.0,265.0,280.0
inform,144.0,162.0,207.0,177.0,175.0,149.0,155.0,138.0,112.0,112.0
bound,141.0,144.0,148.0,148.0,125.0,133.0,116.0,102.0,106.0,61.0
wireless,138.0,230.0,192.0,199.0,167.0,172.0,146.0,104.0,83.0,89.0
sens,129.0,175.0,141.0,170.0,197.0,159.0,159.0,90.0,117.0,81.0
random,127.0,136.0,133.0,123.0,103.0,108.0,104.0,94.0,77.0,64.0
stat,127.0,138.0,128.0,104.0,126.0,126.0,95.0,104.0,110.0,78.0
commun,125.0,129.0,132.0,143.0,145.0,144.0,183.0,139.0,143.0,95.0
process,121.0,138.0,134.0,163.0,155.0,144.0,115.0,134.0,125.0,99.0
quant,121.0,88.0,92.0,71.0,62.0,71.0,62.0,60.0,51.0,54.0
dat,120.0,240.0,203.0,251.0,245.0,222.0,260.0,268.0,297.0,291.0
dynam,118.0,134.0,152.0,156.0,147.0,144.0,130.0,149.0,153.0,135.0
interf,109.0,131.0,118.0,80.0,81.0,78.0,52.0,48.0,23.0,17.0
efficy,108.0,125.0,166.0,180.0,185.0,153.0,162.0,125.0,134.0,131.0
linear,107.0,107.0,132.0,129.0,135.0,131.0,123.0,91.0,80.0,64.0
log,105.0,138.0,172.0,118.0,91.0,118.0,85.0,62.0,76.0,61.0
tim,104.0,116.0,106.0,122.0,117.0,115.0,99.0,82.0,100.0,79.0
program,102.0,136.0,140.0,102.0,118.0,111.0,96.0,98.0,78.0,76.0
class,100.0,104.0,137.0,146.0,147.0,129.0,154.0,201.0,202.0,220.0
detect,98.0,126.0,114.0,120.0,138.0,205.0,207.0,237.0,256.0,271.0
design,98.0,159.0,118.0,152.0,134.0,137.0,118.0,104.0,91.0,92.0
learn,98.0,138.0,190.0,244.0,207.0,240.0,389.0,499.0,601.0,818.0
funct,97.0,123.0,117.0,120.0,121.0,90.0,96.0,92.0,79.0,63.0
approxim,94.0,123.0,138.0,138.0,145.0,125.0,131.0,112.0,90.0,77.0
the,92.0,69.0,79.0,67.0,92.0,57.0,62.0,49.0,39.0,51.0
sec,92.0,148.0,121.0,123.0,113.0,95.0,116.0,100.0,79.0,105.0
gam,91.0,123.0,129.0,114.0,88.0,84.0,95.0,106.0,78.0,55.0
set,91.0,91.0,118.0,88.0,103.0,86.0,82.0,72.0,62.0,61.0
constraint,90.0,88.0,95.0,74.0,66.0,65.0,74.0,47.0,63.0,39.0
minim,89.0,89.0,77.0,82.0,85.0,96.0,73.0,50.0,57.0,43.0
compress,87.0,90.0,102.0,78.0,123.0,86.0,75.0,65.0,68.0,48.0
search,84.0,64.0,93.0,93.0,83.0,80.0,72.0,65.0,72.0,68.0
capac,84.0,113.0,106.0,75.0,54.0,52.0,43.0,59.0,28.0,19.0
perform,83.0,146.0,124.0,158.0,133.0,137.0,97.0,109.0,90.0,75.0
control,83.0,118.0,118.0,150.0,165.0,157.0,134.0,161.0,159.0,146.0
langu,78.0,78.0,90.0,69.0,87.0,91.0,85.0,91.0,98.0,92.0
mimo,77.0,81.0,89.0,59.0,79.0,88.0,100.0,89.0,70.0,36.0
solv,76.0,98.0,111.0,89.0,93.0,87.0,83.0,76.0,68.0,47.0
gauss,76.0,80.0,60.0,52.0,40.0,43.0,47.0,43.0,32.0,17.0
pow,74.0,88.0,84.0,82.0,92.0,107.0,94.0,85.0,89.0,73.0
rat,74.0,91.0,80.0,61.0,84.0,57.0,68.0,54.0,50.0,37.0
us,73.0,110.0,105.0,127.0,117.0,127.0,113.0,102.0,114.0,103.0
tre,72.0,86.0,60.0,77.0,68.0,80.0,86.0,73.0,59.0,50.0
protocol,71.0,119.0,93.0,100.0,69.0,65.0,38.0,23.0,25.0,34.0
im,68.0,136.0,96.0,153.0,127.0,158.0,205.0,257.0,302.0,245.0
maxim,68.0,62.0,78.0,66.0,61.0,69.0,78.0,68.0,61.0,48.0
fast,67.0,68.0,54.0,90.0,80.0,91.0,111.0,92.0,88.0,70.0
relay,67.0,93.0,111.0,89.0,71.0,66.0,59.0,37.0,34.0,9.0
loc,67.0,100.0,95.0,107.0,122.0,92.0,115.0,133.0,124.0,104.0
estim,67.0,101.0,97.0,116.0,126.0,128.0,129.0,161.0,160.0,152.0
decod,66.0,76.0,78.0,61.0,47.0,44.0,51.0,27.0,33.0,25.0
multipl,65.0,80.0,85.0,83.0,49.0,88.0,69.0,76.0,77.0,54.0
improv,65.0,107.0,99.0,116.0,113.0,92.0,88.0,103.0,117.0,109.0
sequ,64.0,68.0,65.0,61.0,80.0,72.0,55.0,65.0,73.0,70.0
meas,63.0,55.0,66.0,70.0,82.0,83.0,64.0,58.0,69.0,53.0
techn,63.0,97.0,70.0,116.0,92.0,88.0,73.0,58.0,41.0,55.0
spars,62.0,92.0,76.0,93.0,131.0,83.0,115.0,90.0,78.0,51.0
framework,62.0,79.0,90.0,83.0,103.0,101.0,89.0,120.0,94.0,124.0
polynom,62.0,58.0,45.0,36.0,42.0,49.0,50.0,29.0,28.0,17.0
parallel,62.0,71.0,67.0,56.0,70.0,67.0,47.0,46.0,61.0,40.0
adapt,61.0,81.0,75.0,88.0,113.0,88.0,109.0,119.0,108.0,115.0
coop,60.0,67.0,61.0,64.0,66.0,52.0,44.0,48.0,37.0,40.0
problem,60.0,54.0,61.0,56.0,52.0,65.0,54.0,49.0,38.0,25.0
web,60.0,84.0,97.0,103.0,77.0,69.0,50.0,33.0,35.0,39.0
sign,60.0,58.0,81.0,63.0,100.0,78.0,80.0,74.0,69.0,45.0
man,58.0,81.0,61.0,64.0,63.0,67.0,64.0,68.0,44.0,38.0
sci,58.0,36.0,37.0,33.0,41.0,48.0,45.0,48.0,34.0,30.0
construct,57.0,70.0,53.0,48.0,60.0,47.0,37.0,45.0,33.0,20.0
high,56.0,51.0,48.0,31.0,50.0,52.0,63.0,42.0,41.0,40.0
mobl,56.0,136.0,95.0,102.0,85.0,99.0,93.0,83.0,84.0,63.0
rout,56.0,81.0,80.0,84.0,70.0,56.0,29.0,40.0,30.0,31.0
cas,56.0,57.0,79.0,45.0,64.0,51.0,42.0,62.0,48.0,33.0
rel,55.0,66.0,61.0,83.0,66.0,54.0,67.0,62.0,70.0,70.0
combin,54.0,76.0,44.0,55.0,55.0,46.0,57.0,48.0,37.0,44.0
low,54.0,61.0,39.0,68.0,64.0,57.0,62.0,39.0,47.0,38.0
transmit,54.0,77.0,45.0,57.0,50.0,44.0,45.0,54.0,37.0,28.0
evalu,54.0,69.0,63.0,95.0,75.0,83.0,79.0,95.0,77.0,73.0
feedback,54.0,46.0,53.0,37.0,42.0,43.0,45.0,32.0,27.0,17.0
